Data_publicacao,tweet
2019-05-17 07:28:11+00:00,Guinea has some of the world's richest iron ore deposits, but it has never exported a ton https://t.co/bTPSlQ1D6G
2019-05-12 19:45:08+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/MWZ4D3jo3J
2019-05-12 13:05:30+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/KZXSRES7cj
2019-05-12 05:09:21+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/HJyzKtRQF5
2019-04-18 12:14:03+00:00,The rally in iron ore looks precarious https://t.co/6YlvcmOkAU
2019-04-18 08:25:25+00:00,Mining dealmaker Mick Davis has won permission to export iron ore from a planned mine in West Africa, adding moment... https://t.co/frtr24iATM
2019-04-18 07:59:39+00:00,The rally in iron ore looks precarious https://t.co/5LtRXlQMcP
2019-04-08 13:05:04+00:00,Iron ore is poised to hit $100 a ton thanks to “very, very low” seaborne cargoes and a possible pick-up in Chinese... https://t.co/lC6kQeNoR3
2019-04-03 20:57:33+00:00,The world's biggest iron ore export port is expecting a timely boost in shipments https://t.co/2D0GWMLkso
2019-04-03 11:42:03+00:00,Iron ore thunders higher https://t.co/wLzqchjv9W
2019-03-27 05:36:27+00:00,The global iron ore market is likely to have a shortfall, mining billionaire Andrew Forrest says https://t.co/9xrzbcczq9
2019-03-20 17:49:23+00:00,The Vale mine ruling has analysts weighing the iron ore market impact https://t.co/KYSkKDga7d
2019-03-20 10:59:03+00:00,Cyclone lurks off West Australia near a key export point for iron ore shipments https://t.co/mdWjQyV29p
2019-03-18 19:37:03+00:00,Vale shares declined on Monday as the world's iron ore producer faces continued backlash from Brazilian authorities https://t.co/VqEDVEEXlp
2019-02-26 04:13:32+00:00,India's pellet exports are expected to rise as buyers seek alternative sources of iron ore following output cuts by... https://t.co/mWq2zKpy0t
2019-02-26 02:42:31+00:00,Guinea sits on some of the richest iron ore deposits in the world, but they've been more of a curse than a blessing... https://t.co/CIrW68Ve6O
2019-02-20 07:30:17+00:00,Iron ore demand in China is poised to remain strong and help bolster profits for Fortescue https://t.co/g2uVE8klNh
2019-02-19 10:29:06+00:00,BHP doesn't have capacity to raise shipments into the iron-ore market, as Vale faces outages after Brazil disaster... https://t.co/fHd5ajj1mO
2019-02-18 13:11:16+00:00,A surge in iron ore prices is fueling hopes for bigger returns https://t.co/5e4lBff192
2019-02-15 01:28:34+00:00,China won't come to the rescue in the world's iron ore supply crisis https://t.co/gg9GeimOul
2019-02-12 15:38:20+00:00,The global iron ore crisis in four charts https://t.co/U5O0qRBlz1 https://t.co/3USmAYQ23R
2019-02-12 08:26:25+00:00,Iron ore futures tumble as much as 7% in Singapore https://t.co/p6tJZZQOfg https://t.co/kJu1LEgO6A
2019-02-12 07:53:21+00:00,The global iron ore crisis in four charts https://t.co/fRliL5NUIX https://t.co/mhvExJogN7
2019-02-11 09:04:47+00:00,Chinese traders returned from their Lunar New Year holiday to see iron ore had a wild ride while they were gone. Lo... https://t.co/CO1F08uEeq
2019-02-11 02:25:00+00:00,-Stocks begin week on a cautious note Worries on global growth are driving bonds higher Iron ore rocked by the cr... https://t.co/K6j4yjk1oc
2019-02-08 21:14:02+00:00,Goldman and its biggest critic agree on iron ore outlook https://t.co/vJ2YxFCytr
2019-02-08 09:21:01+00:00,Iron ore surges 5%, hitting the highest since 2014, on concerns that an increasingly severe crisis will limit suppl... https://t.co/pyG66mrtLD
2019-02-08 04:24:19+00:00,Iron ore futures surge more than 5% to hit the highest level since 2014 https://t.co/DMVWZZeMty https://t.co/m0vBKDMAEC
2019-02-05 13:01:39+00:00,If you are searching for clues on how the rand will move next, watch the iron-ore price https://t.co/KdXqRkiZIc https://t.co/YlPvO0F2c6
2019-02-05 01:24:00+00:00,Vale says it's temporarily halting some operations at Brucutu iron ore mine as part of court-ordered safety measure... https://t.co/xKXm9zZtSk
2019-02-01 07:55:37+00:00,Vale's dam disaster helped spur an iron-ore rally. But the metal's deeper troubles are on the demand side, writes... https://t.co/hvXC7GvQuO
2019-01-30 11:07:14+00:00,Iron ore jumps to the highest in nearly 2 years as the world's biggest miner plans to close some of its operations... https://t.co/CiRVfMr7mS
2019-01-30 04:50:58+00:00,Iron ore rockets as a supply disruption from Vale, the world's largest producer, convulses the market... https://t.co/u0TiOiqnVo
2019-01-28 16:47:07+00:00,LATEST: Vale SA's dam breach left at least 60 people dead and 292 missing in Brazil, leading the world's biggest pr... https://t.co/zE7EJaGL0N
2019-01-28 14:29:41+00:00,RT @EdVanDerWalt: In markets today: Shares drop as earnings roll in Iron ore jumps after dam collapse Treasuries climb with yen- Bit...
